Score,Level,Data,HostName,HostID
10,0,2019-11-03,Staniszworld,192.168.56.1
44,5,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
50,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
94,16,2019-11-03,Staniszworld,192.168.56.1
94,16,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
74,22,2019-11-03,Staniszworld,192.168.56.1
74,22,2019-11-03,Staniszworld,192.168.56.1
132,22,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
560,62,2019-11-03,Staniszworld,192.168.56.1
560,62,2019-11-03,Staniszworld,192.168.56.1
10,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
0,0,2019-11-03,Staniszworld,192.168.56.1
